image,GT,Predictions,TP,FP,FN,total_errors
00542.jpg,1,1,1,0,0,0
00543.jpg,1,1,1,0,0,0
00544.jpg,1,1,1,0,0,0
00545.jpg,1,1,1,0,0,0
00546.jpg,1,1,1,0,0,0
00547.jpg,1,1,1,0,0,0
00548.jpg,1,1,1,0,0,0
00549.jpg,1,1,1,0,0,0
00550.jpg,1,1,1,0,0,0
00551.jpg,1,1,1,0,0,0
00552.jpg,1,1,1,0,0,0
00553.jpg,1,1,1,0,0,0
00554.jpg,1,1,1,0,0,0
00555.jpg,1,1,1,0,0,0
00556.jpg,1,1,1,0,0,0
00557.jpg,1,1,1,0,0,0
00558.jpg,1,1,1,0,0,0
00559.jpg,1,1,1,0,0,0
00560.jpg,1,1,1,0,0,0
00561.jpg,1,1,1,0,0,0
00562.jpg,1,1,1,0,0,0
00563.jpg,1,1,1,0,0,0
00564.jpg,1,1,1,0,0,0
00565.jpg,1,1,1,0,0,0
00566.jpg,1,1,1,0,0,0
00567.jpg,1,1,1,0,0,0
00568.jpg,1,1,1,0,0,0
00569.jpg,1,1,1,0,0,0
00570.jpg,1,1,1,0,0,0
00571.jpg,1,1,1,0,0,0
00572.jpg,1,1,1,0,0,0
00573.jpg,1,1,1,0,0,0
00574.jpg,1,1,1,0,0,0
00575.jpg,1,1,1,0,0,0
00576.jpg,1,1,1,0,0,0
00577.jpg,1,1,1,0,0,0
00578.jpg,1,1,1,0,0,0
00579.jpg,1,1,1,0,0,0
00580.jpg,1,1,1,0,0,0
00581.jpg,1,1,1,0,0,0
00582.jpg,1,1,1,0,0,0
00583.jpg,1,1,1,0,0,0
00584.jpg,1,1,1,0,0,0
00585.jpg,1,1,1,0,0,0
00586.jpg,1,1,1,0,0,0
00587.jpg,1,1,1,0,0,0
00588.jpg,1,1,1,0,0,0
00589.jpg,1,1,1,0,0,0
00590.jpg,1,1,1,0,0,0
00591.jpg,1,1,1,0,0,0
00592.jpg,1,1,1,0,0,0
00593.jpg,1,1,1,0,0,0
00594.jpg,1,1,1,0,0,0
00595.jpg,1,1,1,0,0,0
00596.jpg,1,1,1,0,0,0
00598.jpg,1,1,1,0,0,0
00599.jpg,1,1,1,0,0,0
00600.jpg,1,1,1,0,0,0
00601.jpg,1,1,1,0,0,0
00602.jpg,1,1,1,0,0,0
00603.jpg,1,1,1,0,0,0
00604.jpg,1,1,1,0,0,0
00606.jpg,1,1,1,0,0,0
00608.jpg,1,1,1,0,0,0
00609.jpg,1,1,1,0,0,0
00610.jpg,1,1,1,0,0,0
00611.jpg,1,1,1,0,0,0
00612.jpg,1,1,1,0,0,0
00613.jpg,1,1,1,0,0,0
00614.jpg,1,1,1,0,0,0
00615.jpg,1,1,1,0,0,0
00616.jpg,1,1,1,0,0,0
00617.jpg,1,1,1,0,0,0
00618.jpg,1,1,1,0,0,0
00619.jpg,1,1,1,0,0,0
00620.jpg,1,1,1,0,0,0
00621.jpg,1,1,1,0,0,0
00622.jpg,1,1,1,0,0,0
00623.jpg,1,1,1,0,0,0
00624.jpg,1,1,1,0,0,0
00625.jpg,1,1,1,0,0,0
00626.jpg,1,1,1,0,0,0
00627.jpg,1,1,1,0,0,0
00628.jpg,1,1,1,0,0,0
00629.jpg,1,1,1,0,0,0
00630.jpg,1,1,1,0,0,0
00631.jpg,1,1,1,0,0,0
00632.jpg,1,1,1,0,0,0
00633.jpg,1,1,1,0,0,0
00634.jpg,1,1,1,0,0,0
00635.jpg,1,1,1,0,0,0
00636.jpg,1,1,1,0,0,0
00637.jpg,1,1,1,0,0,0
00638.jpg,1,1,1,0,0,0
00639.jpg,1,1,1,0,0,0
00640.jpg,1,1,1,0,0,0
00641.jpg,1,1,1,0,0,0
00642.jpg,1,1,1,0,0,0
00643.jpg,1,1,1,0,0,0
00644.jpg,1,1,1,0,0,0
00645.jpg,1,1,1,0,0,0
00646.jpg,1,1,1,0,0,0
00647.jpg,1,1,1,0,0,0
00648.jpg,1,1,1,0,0,0
00649.jpg,1,1,1,0,0,0
00650.jpg,1,1,1,0,0,0
00651.jpg,1,1,1,0,0,0
00652.jpg,1,1,1,0,0,0
00653.jpg,1,1,1,0,0,0
00654.jpg,1,1,1,0,0,0
00655.jpg,1,1,1,0,0,0
00657.jpg,1,1,1,0,0,0
00658.jpg,1,1,1,0,0,0
00659.jpg,1,1,1,0,0,0
00660.jpg,1,1,1,0,0,0
00661.jpg,1,1,1,0,0,0
00662.jpg,1,1,1,0,0,0
00663.jpg,1,1,1,0,0,0
00664.jpg,1,1,1,0,0,0
00666.jpg,1,1,1,0,0,0
00667.jpg,1,1,1,0,0,0
00668.jpg,1,1,1,0,0,0
00669.jpg,1,1,1,0,0,0
00670.jpg,1,1,1,0,0,0
00671.jpg,1,1,1,0,0,0
00672.jpg,1,1,1,0,0,0
00673.jpg,1,1,1,0,0,0
00674.jpg,1,1,1,0,0,0
00675.jpg,1,1,1,0,0,0
00676.jpg,1,1,1,0,0,0
00677.jpg,1,1,1,0,0,0
00678.jpg,1,1,1,0,0,0
00679.jpg,1,1,1,0,0,0
00680.jpg,1,1,1,0,0,0
00681.jpg,1,1,1,0,0,0
00682.jpg,1,1,1,0,0,0
00683.jpg,1,1,1,0,0,0
00684.jpg,1,1,1,0,0,0
00685.jpg,1,1,1,0,0,0
00686.jpg,1,1,1,0,0,0
00687.jpg,1,1,1,0,0,0
00688.jpg,1,1,1,0,0,0
00689.jpg,1,1,1,0,0,0
00690.jpg,1,1,1,0,0,0
00691.jpg,1,1,1,0,0,0
00692.jpg,1,1,1,0,0,0
00693.jpg,1,1,1,0,0,0
00694.jpg,1,1,1,0,0,0
00695.jpg,1,1,1,0,0,0
00696.jpg,1,1,1,0,0,0
00697.jpg,1,1,1,0,0,0
00698.jpg,1,1,1,0,0,0
00699.jpg,1,1,1,0,0,0
00700.jpg,1,1,1,0,0,0
00701.jpg,1,1,1,0,0,0
